id_customer,first_name,last_name,email,creation_date,update_time
291,Lotte,Hallows,lhallowsh1@nih.gov,06-May-22,2022-06-28T02:23:00Z
1426,Callida,Gavahan,cgavahan46@hao123.com,26-May-22,2022-06-28T04:38:00Z
221,Emery,McTerlagh,emcterlaghie@jiathis.com,05-May-22,2022-06-28T07:55:00Z
490,Meagan,Rosborough,mrosboroughky@nbcnews.com,10-May-22,2022-06-28T08:15:00Z
1373,Simeon,Pfaffe,spfaffed@livejournal.com,25-May-22,2022-06-28T11:36:00Z
1515,Nikolia,Power,npower8i@photobucket.com,27-May-22,2022-06-28T12:35:00Z
214,Dyane,Dicty,ddicty85@cdc.gov,05-May-22,2022-06-28T12:36:00Z
134,Swen,Valois,svalois1l@surveymonkey.com,03-May-22,2022-06-28T13:42:00Z
1349,Oralia,Eddis,oeddisas@bluehost.com,24-May-22,2022-06-28T16:12:00Z
1209,Agneta,Date,adateci@tripadvisor.com,22-May-22,2022-06-28T16:33:00Z
326,Rakel,Berntsson,rberntsson9a@hp.com,07-May-22,2022-06-28T16:54:00Z
455,Judith,Mourge,jmourgecd@godaddy.com,09-May-22,2022-06-28T18:59:00Z
